Reference, Value, Footprint, Datasheet, MFN, MFP, S1PN, S1PL, S2PN, S2PL, Description, Source, Critical, Characteristics
"J1","VIN","Terminal_Blocks:TerminalBlock_Altech_AK300-2_P5.00mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","Phoenix Contact","1935161","277-1667-ND","https://www.digikey.com/product-detail/en/phoenix-contact/1935161/277-1667-ND/568614https://www.digikey.com/product-detail/en/phoenix-contact/1935161/277-1667-ND/568614","Second Source Part Number","Second Source Part Link","TERM BLOCK PCB 2POS 5.0MM GREEN","ANY","N",""
"C3","100uF","Capacitors_SMD:CP_Elec_6.3x5.3","","Panasonic","EEE-1CA101WP","PCE3880CT-ND","https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEE-1CA101WP/PCE3880CT-ND/766256","Second Source Part Number","Second Source Part Link","CAP ALUM 100UF 20% 16V SMD","ANY","N","6.60mm x 6.60mm x 5.40mm"
"J2","LED STRIP","Terminal_Blocks:TerminalBlock_Altech_AK300-4_P5.00mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935187.pdf","Phoenix Contact","1935187","277-1579-ND","https://www.digikey.com/product-detail/en/phoenix-contact/1935187/277-1579-ND/568616","Second Source Part Number","Second Source Part Link","~TERM BLOCK PCB 4POS 5.0MM GREEN","ANY","N",""
"C5","1000uF","Capacitors_SMD:CP_Elec_8x10.5","","Panasonic","EEE-FK0J102P","PCE3763CT-ND","https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEE-FK0J102P/PCE3763CT-ND/766139","Second Source Part Number","Second Source Part Link","CAP ALUM 1000UF 20% 6.3V SMD","ANY","N","8.30mm x 8.30mm x 10.50mm"
"D1","LED_LIGHT_ON","TO_SOT_Packages_SMD:SOT-23","http://www.kingbrightusa.com/images/catalog/SPEC/AM23ESGW.pdf","Kingbright","AM23ESGW","754-1634-1-ND","https://www.digikey.com/product-detail/en/kingbright/AM23ESGW/754-1634-1-ND/4199637","Second Source Part Number","Second Source Part Link","SOT23 BICOLOR LED","ANY","N","RED-GREEN COMMON CATHODE"
"D3","LED_BRIGHT+","TO_SOT_Packages_SMD:SOT-23","http://www.kingbrightusa.com/images/catalog/SPEC/AM23ESGW.pdf","Kingbright","AM23ESGW","754-1634-1-ND","https://www.digikey.com/product-detail/en/kingbright/AM23ESGW/754-1634-1-ND/4199637","Second Source Part Number","Second Source Part Link","SOT23 BICOLOR LED","ANY","N","RED-GREEN COMMON CATHODE"
"D5","LED_BRIGHT-","TO_SOT_Packages_SMD:SOT-23","http://www.kingbrightusa.com/images/catalog/SPEC/AM23ESGW.pdf","Kingbright","AM23ESGW","754-1634-1-ND","https://www.digikey.com/product-detail/en/kingbright/AM23ESGW/754-1634-1-ND/4199637","Second Source Part Number","Second Source Part Link","SOT23 BICOLOR LED","ANY","N","RED-GREEN COMMON CATHODE"
"D7","LED_LIGHT_OFF","TO_SOT_Packages_SMD:SOT-23","http://www.kingbrightusa.com/images/catalog/SPEC/AM23ESGW.pdf","Kingbright","AM23ESGW","754-1634-1-ND","https://www.digikey.com/product-detail/en/kingbright/AM23ESGW/754-1634-1-ND/4199637","Second Source Part Number","Second Source Part Link","SOT23 BICOLOR LED","ANY","N","RED-GREEN COMMON CATHODE"
"SW1","LIGHT_ON","","","DNP","DNP","DNP","DNP","Second Source Part Number","Second Source Part Link","CAP TOUCH PAD","DNP","DNP",""
"SW3","BRIGHT+","","","DNP","DNP","DNP","DNP","Second Source Part Number","Second Source Part Link","CAP TOUCH PAD","DNP","DNP",""
"SW5","BRIGHT-","","","DNP","DNP","DNP","DNP","Second Source Part Number","Second Source Part Link","CAP TOUCH PAD","DNP","DNP",""
"SW7","LIGHT_OFF","","","DNP","DNP","DNP","DNP","Second Source Part Number","Second Source Part Link","CAP TOUCH PAD","DNP","DNP",""
